loaddate,uniqueid,workorder,length,width,color,description
1/18/2024,10264725,25512643,239.875,18,DN ,2000X18 25P RR PAN DN F       
1/18/2024,10264729,25512705,107.875,21,TW ,0900X21 25P RR PAN TW F       
1/18/2024,10264728,25512705,107.875,21,TW ,0900X21 25P RR PAN TW F       
1/18/2024,10264727,25512705,107.875,21,TW ,0900X21 25P RR PAN TW F       
1/18/2024,10264733,25512689,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264732,25512689,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264731,25512689,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264730,25512689,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264734,25512173,107.875,21,WK ,0900X21 25P RR PAN WK SL      
1/18/2024,10264736,25512173,107.875,21,WK ,0900X21 25P RR PAN WK SL      
1/18/2024,10264735,25512173,107.875,21,WK ,0900X21 25P RR PAN WK SL      
1/18/2024,10264737,25512176,107.875,18,WK ,0900X18 25P RR PAN WK F       
1/18/2024,10264739,25512307,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264738,25512307,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264742,25512307,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264743,25512307,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264741,25512307,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264740,25512307,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264745,25512309,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264744,25512309,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264747,25512167,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264749,25512167,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264746,25512167,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264751,25512167,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264750,25512167,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264748,25512167,191.875,21,TW ,1600X21 25P RR PAN TW F       
1/18/2024,10264754,25512169,191.875,18,TW ,1600X18 25P RR PAN TW F       
